# Time, Phi
9.289289289289289542e+00,1.887577808085078912e+00
9.369369369369369593e+00,1.939646706336143112e+00
9.449449449449449645e+00,1.986934851714040606e+00
9.529529529529529697e+00,2.029121441224730482e+00
9.609609609609609748e+00,2.065943744852270392e+00
9.689689689689689800e+00,2.097198322213862820e+00
9.769769769769769852e+00,2.122741624720096087e+00
9.849849849849849903e+00,2.142489991879483302e+00
9.929929929929929955e+00,2.156419056165416404e+00
1.001001001001001001e+01,2.164562576363198598e+00
1.009009009009009006e+01,2.167010724486968520e+00
1.017017017017017011e+01,2.163907856157976983e+00
1.025025025025025016e+01,2.155449798728062749e+00
1.033033033033033021e+01,2.141880695381647381e+00
1.041041041041041026e+01,2.123489446927714575e+00
1.049049049049049032e+01,2.100605795976759449e+00
1.057057057057057037e+01,2.073596100668976039e+00
1.065065065065065042e+01,2.042858847066704620e+00
1.073073073073073047e+01,2.008819950739547888e+00
1.081081081081081052e+01,1.971927898953368397e+00
1.089089089089089057e+01,1.932648785228335164e+00
1.097097097097097063e+01,1.891461287865507268e+00
1.105105105105105068e+01,1.848851643370033049e+00
1.113113113113113073e+01,1.805308664540491881e+00
1.121121121121121078e+01,1.761318851371370897e+00
1.129129129129129083e+01,1.717361640855975535e+00
1.137137137137137088e+01,1.673904839311174841e+00
1.145145145145145094e+01,1.631400278007061999e+00
1.153153153153153099e+01,1.590279729710918355e+00
1.161161161161161104e+01,1.550951120285001705e+00
1.169169169169169109e+01,1.513795065752969737e+00
1.177177177177177114e+01,1.479161761313093404e+00
1.185185185185185119e+01,1.447368244671587645e+00
1.193193193193193125e+01,1.418696051841130901e+00
1.201201201201201130e+01,1.393389279242406076e+00
1.209209209209209135e+01,1.371653061604947155e+00
1.217217217217217140e+01,1.353652470831191224e+00
1.225225225225225145e+01,1.339511836707134584e+00
1.233233233233233150e+01,1.329314486155384945e+00
1.241241241241241156e+01,1.323102893670786262e+00
1.249249249249249161e+01,1.320879231692208666e+00
1.257257257257257166e+01,1.322606305980778663e+00
1.265265265265265171e+01,1.328208857626486550e+00
1.273273273273273176e+01,1.337575210120069746e+00
1.281281281281281181e+01,1.350559237030683146e+00
1.289289289289289364e+01,1.366982623243787387e+00
1.297297297297297369e+01,1.386637390456139762e+00
1.305305305305305374e+01,1.409288655710254856e+00
1.313313313313313380e+01,1.434677590189953111e+00
1.321321321321321385e+01,1.462524544298696938e+00
1.329329329329329390e+01,1.492532304206567240e+00
1.337337337337337395e+01,1.524389444579615338e+00
1.345345345345345400e+01,1.557773742092908975e+00
1.353353353353353405e+01,1.592355614568535360e+00
1.361361361361361411e+01,1.627801551161280447e+00
