# Time, Phi
2.122122122122122256e+00,-2.807845666252699601e+00
2.142142142142142269e+00,-2.844232053855998643e+00
2.162162162162162282e+00,-2.878312381895400840e+00
2.182182182182182295e+00,-2.910075710169580443e+00
2.202202202202202308e+00,-2.939512586706858777e+00
2.222222222222222321e+00,-2.966615046492321550e+00
2.242242242242242334e+00,-2.991376609278351584e+00
2.262262262262262347e+00,-3.013792276484311028e+00
2.282282282282282360e+00,-3.033858527191680476e+00
2.302302302302302373e+00,-3.051573313241450869e+00
2.322322322322322385e+00,-3.066936053441148502e+00
2.342342342342342398e+00,-3.079947626889315337e+00
2.362362362362362411e+00,-3.090610365425856543e+00
2.382382382382382424e+00,-3.098928045217097527e+00
2.402402402402402437e+00,-3.104905877484938514e+00
2.422422422422422450e+00,-3.108550498389956118e+00
2.442442442442442463e+00,-3.109869958078786745e+00
2.462462462462462476e+00,-3.108873708906588540e+00
2.482482482482482489e+00,-3.105572592845854629e+00
2.502502502502502502e+00,-3.099978828093276739e+00
2.522522522522522515e+00,-3.092105994886827691e+00
2.542542542542542527e+00,-3.081969020545641591e+00
2.562562562562562540e+00,-3.069584163745697314e+00
2.582582582582582553e+00,-3.054968998044736317e+00
2.602602602602602566e+00,-3.038142394670225066e+00
2.622622622622622579e+00,-3.019124504584578705e+00
2.642642642642642592e+00,-2.997936739842244513e+00
2.662662662662662605e+00,-2.974601754253602959e+00
2.682682682682682618e+00,-2.949143423370999884e+00
2.702702702702702631e+00,-2.921586823812595490e+00
2.722722722722722644e+00,-2.891958211940022672e+00
2.742742742742742657e+00,-2.860285001906174962e+00
2.762762762762762669e+00,-2.826595743089790780e+00
2.782782782782782682e+00,-2.790920096933744432e+00
2.802802802802802695e+00,-2.753288813204300745e+00
2.822822822822822708e+00,-2.713733705688818443e+00
2.842842842842842721e+00,-2.672287627349697825e+00
2.862862862862862734e+00,-2.628984444952566779e+00
2.882882882882882747e+00,-2.583859013187002063e+00
2.902902902902902760e+00,-2.536947148298245303e+00
2.922922922922922773e+00,-2.488285601248645396e+00
2.942942942942942786e+00,-2.437912030427721533e+00
2.962962962962962798e+00,-2.385864973929938238e+00
2.982982982982982811e+00,-2.332183821419495651e+00
3.003003003003002824e+00,-2.276908785601528429e+00
3.023023023023022837e+00,-2.220080873319345560e+00
3.043043043043042850e+00,-2.161741856297414444e+00
3.063063063063062863e+00,-2.101934241549939131e+00
3.083083083083082876e+00,-2.040701241475022965e+00
3.103103103103102889e+00,-1.978086743654440482e+00
3.123123123123122902e+00,-1.914135280379213100e+00
3.143143143143142915e+00,-1.848891997921175312e+00
3.163163163163162928e+00,-1.782402625570836285e+00
3.183183183183182940e+00,-1.714713444461877678e+00
3.203203203203202953e+00,-1.645871256202619648e+00
3.223223223223223410e+00,-1.575923351334894473e+00
3.243243243243243423e+00,-1.504917477640683510e+00
3.263263263263263436e+00,-1.432901808316935810e+00
3.283283283283283449e+00,-1.359924910038949442e+00
3.303303303303303462e+00,-1.286035710932655007e+00
3.323323323323323475e+00,-1.211283468476123115e+00
3.343343343343343488e+00,-1.135717737350532719e+00
3.363363363363363501e+00,-1.059388337260838142e+00
3.383383383383383514e+00,-9.823453207461824155e-01
3.403403403403403527e+00,-9.046389410001369757e-01
3.423423423423423539e+00,-8.263196197206463811e-01
